bid_price,bid_size,ask_price,ask_size,protocol_name,timestamp
0.80455,1570.8,0.80476,1615.0,Hyperliquid,2023-10-14 12:24:08.466165
0.80454,3781.1,0.80478,1773.2,Hyperliquid,2023-10-14 12:24:08.466165
0.80446,21873.5,0.80489,18579.7,Hyperliquid,2023-10-14 12:24:08.466165
0.80445,20915.4,0.8049,17911.1,Hyperliquid,2023-10-14 12:24:08.466165
0.80441,21327.1,0.80501,17722.8,Hyperliquid,2023-10-14 12:24:08.466165
0.80435,18610.8,0.80507,18229.4,Hyperliquid,2023-10-14 12:24:08.466165
0.80388,19652.1,0.80575,17653.9,Hyperliquid,2023-10-14 12:24:08.466165
0.8038,18893.9,0.80584,17812.7,Hyperliquid,2023-10-14 12:24:08.466165
0.80323,41475.9,0.8071,39257.0,Hyperliquid,2023-10-14 12:24:08.466165
0.8012,41296.1,0.80909,19784.6,Hyperliquid,2023-10-14 12:24:08.466165
0.79816,101849.0,0.80914,19839.9,Hyperliquid,2023-10-14 12:24:08.466165
0.7981,106682.1,0.81255,92422.4,Hyperliquid,2023-10-14 12:24:08.466165
0.79581,100435.4,0.81256,100625.3,Hyperliquid,2023-10-14 12:24:08.466165
0.7944,92263.2,0.81743,95273.6,Hyperliquid,2023-10-14 12:24:08.466165
0.78978,88929.3,0.81794,108553.9,Hyperliquid,2023-10-14 12:24:08.466165
0.78946,90553.8,0.82327,106298.0,Hyperliquid,2023-10-14 12:24:08.466165
0.76,20000.0,0.82449,107354.9,Hyperliquid,2023-10-14 12:24:08.466165
,,0.8717,59.4,Hyperliquid,2023-10-14 12:24:08.466165
,,2.49,292.5,Hyperliquid,2023-10-14 12:24:08.466165
