bid_price,bid_size,ask_price,ask_size,protocol_name,timestamp
1546.3671,4.891,1546.3672,0.187,Zeta Markets,2023-10-14 12:24:01.626657
1546.077,0.19,1546.5219,1.247,Zeta Markets,2023-10-14 12:24:01.626657
1546.0526,10.051,1546.8312,3.117,Zeta Markets,2023-10-14 12:24:01.626657
1545.458,3.23,1547.6046,9.351,Zeta Markets,2023-10-14 12:24:01.626657
1545.2792,26.802,1548.3781,24.935,Zeta Markets,2023-10-14 12:24:01.626657
1544.685,9.7,1568.641,0.19,Zeta Markets,2023-10-14 12:24:01.626657
1543.139,12.94,1576.484,0.25,Zeta Markets,2023-10-14 12:24:01.626657
1541.593,16.17,1580.405,0.32,Zeta Markets,2023-10-14 12:24:01.626657
1522.277,0.19,1584.327,0.38,Zeta Markets,2023-10-14 12:24:01.626657
1514.665,0.25,1588.249,0.45,Zeta Markets,2023-10-14 12:24:01.626657
1510.86,0.32,2000.0,0.001,Zeta Markets,2023-10-14 12:24:01.626657
1507.054,0.38,2150.0,0.001,Zeta Markets,2023-10-14 12:24:01.626657
1503.248,0.45,2168.0,0.001,Zeta Markets,2023-10-14 12:24:01.626657
40.0,0.001,,,Zeta Markets,2023-10-14 12:24:01.626657
1549.9594,4.881,1549.9595,0.187,Zeta Markets,2023-10-14 13:14:23.992282
1549.853,0.19,1550.1146,1.244,Zeta Markets,2023-10-14 13:14:23.992282
1549.6473,10.028,1550.4246,3.109,Zeta Markets,2023-10-14 13:14:23.992282
1549.233,3.22,1551.1999,9.328,Zeta Markets,2023-10-14 13:14:23.992282
1548.8721,26.742,1551.9751,24.875,Zeta Markets,2023-10-14 13:14:23.992282
1548.458,9.68,1572.472,0.19,Zeta Markets,2023-10-14 13:14:23.992282
1546.908,12.9,1580.334,0.25,Zeta Markets,2023-10-14 13:14:23.992282
1545.358,16.13,1584.265,0.32,Zeta Markets,2023-10-14 13:14:23.992282
1525.995,0.19,1588.197,0.38,Zeta Markets,2023-10-14 13:14:23.992282
1518.365,0.25,1592.128,0.45,Zeta Markets,2023-10-14 13:14:23.992282
1514.55,0.32,2000.0,0.001,Zeta Markets,2023-10-14 13:14:23.992282
1510.735,0.38,2150.0,0.001,Zeta Markets,2023-10-14 13:14:23.992282
1506.92,0.45,2168.0,0.001,Zeta Markets,2023-10-14 13:14:23.992282
40.0,0.001,,,Zeta Markets,2023-10-14 13:14:23.992282
1551.7002,4.875,1551.7003,0.186,Zeta Markets,2023-10-14 14:11:04.481722
1551.3522,10.018,1551.8555,1.242,Zeta Markets,2023-10-14 14:11:04.481722
1551.338,0.19,1552.1659,3.106,Zeta Markets,2023-10-14 14:11:04.481722
1550.718,3.22,1552.942,9.318,Zeta Markets,2023-10-14 14:11:04.481722
1550.5762,26.714,1553.7181,24.847,Zeta Markets,2023-10-14 14:11:04.481722
1549.942,9.67,1573.979,0.19,Zeta Markets,2023-10-14 14:11:04.481722
1548.39,12.89,1581.849,0.25,Zeta Markets,2023-10-14 14:11:04.481722
1546.839,16.12,1585.784,0.32,Zeta Markets,2023-10-14 14:11:04.481722
1527.457,0.19,1589.719,0.38,Zeta Markets,2023-10-14 14:11:04.481722
1519.82,0.25,1593.653,0.45,Zeta Markets,2023-10-14 14:11:04.481722
1516.001,0.32,2000.0,0.001,Zeta Markets,2023-10-14 14:11:04.481722
1512.183,0.38,2150.0,0.001,Zeta Markets,2023-10-14 14:11:04.481722
1508.364,0.45,2168.0,0.001,Zeta Markets,2023-10-14 14:11:04.481722
40.0,0.001,,,Zeta Markets,2023-10-14 14:11:04.481722
1550.9971,4.877,1550.9972,0.186,Zeta Markets,2023-10-14 15:12:19.361045
1550.826,0.19,1551.1523,1.243,Zeta Markets,2023-10-14 15:12:19.361045
1550.6536,10.022,1551.4626,3.107,Zeta Markets,2023-10-14 15:12:19.361045
1550.205,3.22,1552.2383,9.322,Zeta Markets,2023-10-14 15:12:19.361045
1549.8778,26.725,1553.014,24.858,Zeta Markets,2023-10-14 15:12:19.361045
1549.43,9.67,1573.459,0.19,Zeta Markets,2023-10-14 15:12:19.361045
1547.879,12.9,1581.326,0.25,Zeta Markets,2023-10-14 15:12:19.361045
1546.328,16.12,1585.26,0.32,Zeta Markets,2023-10-14 15:12:19.361045
1526.953,0.19,1589.193,0.38,Zeta Markets,2023-10-14 15:12:19.361045
1519.318,0.25,1593.127,0.45,Zeta Markets,2023-10-14 15:12:19.361045
1515.5,0.32,2000.0,0.001,Zeta Markets,2023-10-14 15:12:19.361045
1511.683,0.38,2150.0,0.001,Zeta Markets,2023-10-14 15:12:19.361045
1507.866,0.45,2168.0,0.001,Zeta Markets,2023-10-14 15:12:19.361045
40.0,0.001,,,Zeta Markets,2023-10-14 15:12:19.361045
